firstpost_date	url	url_expansion_data_url	url_expansion_data_topsy_expanded_url	content	trackback_author_nick	trackback_author_name
1360858364	http://twitter.com/3milyaustin/status/302087992540020736	Not Available	Not Available	u'some people are ABSOLUTE SCUM of this earth!! #disgusted #angry #upset'	3milyaustin	Emily Jane Austin
1390474059	http://twitter.com/bluegenius3/status/426305221455671296	Not Available	Not Available	u"We should be expecting confirmation of Mata's sale to United.#disgusted #angry #shocked"	bluegenius3	#Chelsea Ace
1390474059	http://twitter.com/bluegenius3/status/426305221455671296	Not Available	Not Available	u"We should be expecting confirmation of Mata's sale to United.#disgusted #angry #shocked"	bluegenius3	#Chelsea Ace
1320780708	http://twitter.com/pgabutchko/status/133990117764370432	Not Available	Not Available	u'Too many emotions, #distraught #ashamed #disgusted #angry. Want to just go to bed.'	pgabutchko	Brian Butchko
1318989865	http://twitter.com/ceejfitt_17/status/126478779374780416	Not Available	Not Available	u"I'm amazed at the fact that church can be more important in life then their own kid. #disgusted #angry"	ciarrajamie17	Ceeej
1320678909	http://twitter.com/giraffehooker/status/133563144076406784	Not Available	Not Available	u"EXCUSE ME. But you're desk drawer isn't a trash can. #disgusted #angry"	laurwhor	Laura
1358202205	http://twitter.com/shavieemoon/status/290947255245082627	Not Available	Not Available	u'we live in a generation of, not being in love .. and not being together.\n#scared #disgusted #angry #love'	truthoverdemise	shαvιee ☮
1327377977	http://twitter.com/marcusashton/status/161661071516647425	Not Available	Not Available	u'#depressed #failed #disgusted #angry #fml'	marcusashton	Marcus Ashton
1325223957	http://twitter.com/derrick_bramer/status/152626456063778816	Not Available	Not Available	u"Can't watch this Knicks game anymore #disgusted #angry"	db_wv_413	Derrick Bramer
1359751548	http://twitter.com/devilclack/status/297445668140756993	Not Available	Not Available	u'Full grown adult pulling on a young girls hair #disgusted #Angry'	devilclack	Elvira Rose Clack
1384160529	http://twitter.com/brandaddstokes/status/399824355246342144	Not Available	Not Available	u'Shootout finale.... What a farce!!! #disgusted #angry #farcical'	brandaddstokes	Charlotte Stokes
1344293185	http://twitter.com/chlodurrant/status/232608594426744832	Not Available	Not Available	u'Some proper wrongens in this world #disgusted #angry'	chlodurrant	chloé
1341462030	http://twitter.com/laurenwelsh/status/220733872080560129	Not Available	Not Available	u'Destroying shit #disgusted #angry #raged'	laurenkwelsh	Lauren Kimberly
1322715761	http://twitter.com/rachelhousser/status/142106318566735873	Not Available	Not Available	u'I swear the devil takes human form as him ... #Disgusted #angry'	rachelhousser	rach ❁
1340085439	http://twitter.com/sharlitacaitlin/status/214960030825463809	Not Available	Not Available	u'#Disgusted #angry'	sharlitacaitlin	Sharlita Caitlin
1340492665	http://twitter.com/peachteag/status/216668059547615233	Not Available	Not Available	u'There are some fucking sickos in this world. #disgusted #angry #ashamed'	gemmag94	Gemma✨
1342675579	http://twitter.com/ithad2bmel/status/225823864263942145	Not Available	Not Available	u'Im off this shit. #annoyed #disgusted #angry #awkward'	ithad2bmel	Melissa Castro
1340307354	http://twitter.com/allieann32/status/215890809910853632	Not Available	Not Available	u'#aggravated #disgusted #angry \ue416\ue416'	allieann32	Allie
1346475212	http://twitter.com/carmswears/status/241760679168712704	Not Available	Not Available	u'#DISGUSTED #ANGRY #USED #SHIT'	carmswears	Caramel
1348066050	http://twitter.com/karenupcraft/status/248433138739576832	Not Available	Not Available	u"Wow kinder just found out some shocking news!! Can't say I'm very happy at the mo. #disgusted #angry"	karenupcraft	Karen upcraft
1334851797	http://twitter.com/sophia_devito/status/193008543622889473	Not Available	Not Available	u'Wow totally guilty I just ate that #disgusted #angry'	sophia_devito	Sophia DeVito
1351106103	http://twitter.com/missdoin2much/status/261184043448684544	Not Available	Not Available	u'Soo sick to my stomach about that little 5 year old Robert! #Sad #Disgusted #Angry'	missdoin2much	Marie
1350617721	http://twitter.com/kaithewitt/status/259135622894194689	Not Available	Not Available	u'This is the fucking reason I put a lock on my door #stayout #disgusted #angry'	kaithewitt	Kaitlyn Hewitt
1353825638	http://twitter.com/livinglife_4me/status/272590601176895490	Not Available	Not Available	u"Going to sleep #mad #sad #disgusted #angry #f'everything"	livinglife_4me	tamera e. lusk
1376415312	http://twitter.com/kelsosimpson/status/367338560120438784	Not Available	Not Available	u'Jesus get me away from everybody! love to pack a bag leave my phone and everybody and go a drive somewhere for a few days #disgusted #angry'	kelsosimpson	Kelly :)
1329608753	http://twitter.com/bgarry63/status/171017621809016833	Not Available	Not Available	u"You're fucking stupid. #confused #disgusted #angry"	bgarry63	Brandon James Garry
1352596590	http://twitter.com/vickl96/status/267435600087486465	Not Available	Not Available	u"not looking forward to tomorrow now, don't know what to do #disgusted #angry"	vickymlamb	vicky
1331785321	http://twitter.com/kjeff_11/status/180146810298437635	Not Available	Not Available	u'really does NOT want my name in ANY WAY associated with her #disgusted #ANGRY'	kjeff_11	Kristina Jeffers
1334246315	http://twitter.com/mhmmmhm/status/190468969612845057	Not Available	Not Available	u'Just got sneezed on in class #disgusted #angry'	mhmmmhm	Stephanie Escandon
1355707940	http://twitter.com/jakecaralle/status/280485550115409921	Not Available	Not Available	u'Ravens stunk it up three weeks in a row.\n#disgusted.#angry'	jakecaralle	Jake C
1337881035	http://twitter.com/raspberryholic/status/205714089064939521	Not Available	Not Available	u'Fever again.. Scratch on my phone.. Train mishap right now #disgusted #angry'	superrrkudi	Ankita Parab
1355511017	http://twitter.com/chibhatt/status/279659594320576512	Not Available	Not Available	u'#shocked\n#saddened\n#disgusted\n#angry\n#praying\nOh My God!'	chibhatt	c.HI.r.Ag
1332785829	http://twitter.com/aurettehoffman/status/184343245701128192	Not Available	Not Available	u'I hate it when someone robs you of something that you will never get back! There is no worse feeling!! #disgusted #angry'	aurettehoffman	Aurette Hoffman✈
1331841766	http://twitter.com/islamovicamina/status/180383558991491072	Not Available	Not Available	u"I can't believe this just happened.. #disgusted #angry I wanna cryy!"	islamovicamina	Amina  ♡
1332052653	http://twitter.com/kylie3t0/status/181268081585307648	Not Available	Not Available	u'#headache #disgusted #angry #bed'	kylie3t0	KylieWeyler
1354685970	http://twitter.com/braigen_mac/status/276199096908410880	Not Available	Not Available	u'You need to stop this now. #disgusted #angry'	braigen_mac	Queen B
1355516292	http://twitter.com/nickcashjones/status/279681718187868160	Not Available	Not Available	u'Whatever this guy gets.. Is too good... He deserves to die #disgusted #angry'	nickcashjones	Nick Cash Jones
1354798365	http://twitter.com/danielleeliza18/status/276670514477551616	Not Available	Not Available	u"I'm sorry but your loved ones life should be more important then being late to work. #disgusted #angry #ridiculous"	danielleeliza18	Danielle Elizabeth G
1365997785	http://twitter.com/sfoister01/status/323644284303712257	Not Available	Not Available	u'Seeing your face makes me sick! Hearing about you makes me angry! You are a terrible human being! #Disgusted #Angry #Ugh'	sfoister01	Sam Foister :)
1361851747	http://twitter.com/disneyroe/status/306254541261787136	Not Available	Not Available	u'Mea Maxima Culpa. #horrified #disgusted #angry #upset'	disneyroe	Rosanne Mottola
