firstpost_date	url	url_expansion_data_url	url_expansion_data_topsy_expanded_url	content	trackback_author_nick	trackback_author_name
1400861026	http://twitter.com/daniellemorr12/status/469871316141879297	Not Available	Not Available	u'@ThomsonHolidays the press going to have a field day with this! Saved 3 years for wedding/honeymoon. Even got written evidence! #disgusted!'	daniellemorr12	danielle morris
1401240256	http://twitter.com/eaknezevich/status/471461921540296706	Not Available	Not Available	u'#disgusted \U0001f645'	eaknezevich	Liz Knezevich
1400785833	http://twitter.com/sarahmindfit/status/469555935367950336	Not Available	Not Available	u'@wahaca @thomasinamiers just left Charlotte street my friend is so upset after being sworn at by a waitress #disgusted #spoiltday'	sarahmindfit	Sarah Bailey
1401326322	http://twitter.com/kaitlinsiech/status/471822909510803457	Not Available	Not Available	u'There is a special place In hell for guys who can cheat on their girlfriends. #disgusted'	kaitlinsiech	Kaitlin Siech
1400970904	http://twitter.com/lindseyloo_/status/470332178937937921	Not Available	Not Available	u"Shooting up women just because they won't sleep with you? This is why we need feminism. #USCB #disgusted #unbelievable"	lindseyloo_	posh fox
1401242394	http://twitter.com/jessie_spoo/status/471470890077519872	Not Available	Not Available	u'Will never understand how a "man" can be so degrading to someone he "loves" #disgusted'	jessie_spoo	Jessie Spoo
1401153114	http://twitter.com/nikidesnoyers/status/471096421287202816	Not Available	Not Available	u"Robert Giroux gives himself the right to vote on motions as Chair of BoG. Today's meeting was a circus with no rules #uOttawa #disgusted"	nikidesnoyers	Nicole Desnoyers
1401283065	http://twitter.com/graciesreigate/status/471641475919642624	Not Available	Not Available	u'2 customers dropping off stock, 2 fines @reigatebanstead by officers parking on yellow line #doublestandards #disgusted #reigate'	graciesreigate	Gracie'sDressAgency
1401209357	http://twitter.com/ticksize/status/471332323578114048	Not Available	Not Available	u"@Planetmilan Milan once set transfer records, now out with a begging bowl. I will never stop supporting but I'm #disgusted"	ticksize	Ticksize
1401308257	http://twitter.com/thefrefrek/status/471747139408633856	Not Available	Not Available	u'People put up a facade and you have just shown your true colours #disgusted'	thefrefrek	freddie klein
1400989302	http://twitter.com/bennettjoesmith/status/470409344845369344	Not Available	Not Available	u'RT @BennettJoeSmith: \u201c@hayleemw: @yunghawaiian this is wrong on so many levels #disgusted\u201d fuck off twitter'	yunghawaiian	HAWAIIAN MESSIAH
1401175034	http://twitter.com/m00n_candy/status/471188364151234560	Not Available	Not Available	u'.@vausecnn Even said in jest - what an awful thing for you to say that a white tiger would make a lovely coat! #disgusted @CNN @TigerTimeNow'	m00n_candy	Sierra
1400948397	http://twitter.com/jollygem94/status/470237776583999488	Not Available	Not Available	u'Guys seriously, girls find out everything stop trying to play games. #disgusted'	jollygem94	Jewel Jolly
1401139936	http://twitter.com/samanthavarish/status/471041151722852352	Not Available	Not Available	u'#disgusted'	samanthavarish	Samantha Varish
1400914819	http://twitter.com/jennifernguyeen/status/470096940751790080	Not Available	Not Available	u'You make me sick. #disgusted'	jennifernguyeen	Jennifer Nguyen
1401154276	http://twitter.com/tylerhinam/status/471101298016665601	Not Available	Not Available	u'This is the definition of classless... #Disgusted http://t.co/GY7sy23sp5'	tylerhinam	Hinam
1400835249	http://twitter.com/bigospedros/status/469763199357972480	Not Available	Not Available	u"2 things are depressing me today.  64% of the population DIDN'T vote &amp; of those that did, too many chose to vote for UKIP #disgusted #taxi"	bigospedros	Pete Croxson
